ShowID;"Show name";"Model ID";"Model Name";Collection;"Release date";Set
a1244;"Playful Romp";809;"Whitney Conroy";"iStripper Classic";2013-01-18;http://g.isbnrs.com/a1244.zip
a1243;"Fishnet Frenzy";809;"Whitney Conroy";"iStripper Classic";2013-01-11;http://g.isbnrs.com/a1243.zip
a1242;"Rave With Me";809;"Whitney Conroy";"iStripper Classic";2012-12-28;http://g.isbnrs.com/a1242.zip
a1241;"Lets Play Teacher";809;"Whitney Conroy";"iStripper Classic";2012-12-21;http://g.isbnrs.com/a1241.zip
a1240;"Go Girl";831;"Bailey Ryder";"iStripper Classic";2013-02-08;http://g.isbnrs.com/a1240.zip
a1239;"Racy In Red";831;"Bailey Ryder";"iStripper Classic";2013-01-25;http://g.isbnrs.com/a1239.zip
a1238;"Lets Get Wild";831;"Bailey Ryder";"iStripper Classic";2013-01-11;http://g.isbnrs.com/a1238.zip
a1237;"Spank Me";831;"Bailey Ryder";"iStripper Classic";2012-12-28;http://g.isbnrs.com/a1237.zip
a1236;"Legs For Days";831;"Bailey Ryder";"iStripper Classic";2012-12-14;http://g.isbnrs.com/a1236.zip
a1235;"Lets Get Physical";831;"Bailey Ryder";"iStripper Classic";2012-12-07;http://g.isbnrs.com/a1235.zip
a1234;"Night walk";719;"Victoria Sweet";"iStripper Classic";2012-10-26;http://g.isbnrs.com/a1234.zip
a1233;"Bedroom Games";719;"Victoria Sweet";"iStripper Classic";2013-01-18;http://g.isbnrs.com/a1233.zip
a1232;"Sexy Drill Sergeant";719;"Victoria Sweet";"iStripper Classic";2013-01-04;http://g.isbnrs.com/a1232.zip
a1231;"Sassy Swimsuit";719;"Victoria Sweet";"iStripper Classic";2013-01-25;http://g.isbnrs.com/a1231.zip
a1230;"Sexy Corset";719;"Victoria Sweet";"iStripper Classic";2012-12-07;http://g.isbnrs.com/a1230.zip
a1229;"Naughty Girlfriend";719;"Victoria Sweet";"iStripper Classic";2012-12-21;http://g.isbnrs.com/a1229.zip
a1228;"Sexy Prisoner";830;Ines;"iStripper Classic";2012-11-16;http://g.isbnrs.com/a1228.zip
a1227;"Ready To Swing";830;Ines;"iStripper Classic";2013-01-18;http://g.isbnrs.com/a1227.zip
a1226;"Cocktail Fantasy";830;Ines;"iStripper Classic";2012-12-21;http://g.isbnrs.com/a1226.zip
a1225;Heiress;830;Ines;"iStripper Classic";2013-02-01;http://g.isbnrs.com/a1225.zip
a1224;"Early Springtime";830;Ines;"iStripper Classic";2012-12-07;http://g.isbnrs.com/a1224.zip
